cohort,matrix,scale,model,linkage,K,silhouette,CH,DB,stability_ari_mean,stability_ari_sd,stability_source,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,degeneracy_note
B,B_RAW,Raw,Hierarchical,Complete,3,0.43793,16.38,0.7605,,,excluded — degenerate outlier-peeling,0.001,0.9938,961.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
B,B_RAW,Raw,Hierarchical,Complete,4,0.32307,16.24,1.5214,,,excluded — degenerate outlier-peeling,0.001,0.9793,947.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
B,B_RAW,Raw,Hierarchical,Complete,5,0.29897,13.78,1.3022,,,excluded — degenerate outlier-peeling,0.001,0.9793,947.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
B,B_RAW,Raw,Hierarchical,Complete,6,0.29543,14.21,1.4688,,,excluded — degenerate outlier-peeling,0.001,0.9669,935.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
B,B_RAW,Raw,Hierarchical,Complete,7,0.0635,22.56,2.0122,,,excluded — degenerate outlier-peeling,0.001,0.5295,512.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
B,B_RAW,Raw,Hierarchical,Average,2,0.61319,11.65,0.281,,,excluded — degenerate outlier-peeling,0.001,0.999,966.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
B,B_RAW,Raw,Hierarchical,Average,3,0.53203,9.73,0.3238,,,excluded — degenerate outlier-peeling,0.001,0.9979,965.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
B,B_RAW,Raw,Hierarchical,Average,4,0.47494,13.38,0.6108,,,excluded — degenerate outlier-peeling,0.001,0.9938,961.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
B,B_RAW,Raw,Hierarchical,Average,5,0.40505,11.21,0.5787,,,excluded — degenerate outlier-peeling,0.001,0.9928,960.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
B,B_RAW,Raw,Hierarchical,Average,6,0.3556,9.83,0.5605,,,excluded — degenerate outlier-peeling,0.001,0.9917,959.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
B,B_RAW,Raw,Hierarchical,Average,7,0.3357,8.87,0.5496,,,excluded — degenerate outlier-peeling,0.001,0.9907,958.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
B,B_LOG,Log1p,K-Means,NA,2,0.1125,132.81,2.6242,0.8424,0.1229,"kmeans_stability (B=200, 80% subsample, ARI)",0.4778,0.5222,1.09,False,
B,B_LOG,Log1p,K-Means,NA,3,0.1005,114.92,2.3955,0.7833,0.2372,"kmeans_stability (B=200, 80% subsample, ARI)",0.2978,0.3661,1.23,False,
