SEQN,ward_K2,ward_K3,ward_K4,ward_K5,ward_K6,ward_K7,complete_K2,complete_K3,complete_K4,complete_K5,complete_K6,complete_K7,average_K2,average_K3,average_K4,average_K5,average_K6,average_K7
98944.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
98948.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
98951.0,1,0,3,1,0,2,1,1,3,3,3,3,1,1,3,3,3,3
98981.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98988.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
98994.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
99001.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
99005.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
99023.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99028.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
99067.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99089.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
99099.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
99108.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99110.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
99114.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
99121.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
99136.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
99138.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
99153.0,0,1,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0
99154.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
99160.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
99167.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
99171.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99197.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
99224.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
99237.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
99246.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
99247.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
99251.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
99260.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
99279.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
99291.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
99305.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
